,n_genes,dataset
"""ASGR1pos308_12_103""",2077,human_liver_2019
"""ASGR1pos308_12_104""",744,human_liver_2019
"""ASGR1pos308_12_106""",2642,human_liver_2019
"""ASGR1pos308_12_108""",998,human_liver_2019
"""ASGR1pos308_12_109""",1371,human_liver_2019
"""ASGR1pos308_12_111""",960,human_liver_2019
"""ASGR1pos308_12_113""",1493,human_liver_2019
"""ASGR1pos308_12_115""",537,human_liver_2019
"""ASGR1pos308_12_116""",2177,human_liver_2019
"""ASGR1pos308_12_117""",1508,human_liver_2019
"""ASGR1pos308_12_122""",1482,human_liver_2019
"""ASGR1pos308_12_123""",668,human_liver_2019
"""ASGR1pos308_12_124""",1353,human_liver_2019
"""ASGR1pos308_12_127""",568,human_liver_2019
"""ASGR1pos308_12_131""",455,human_liver_2019
"""ASGR1pos308_12_132""",494,human_liver_2019
"""ASGR1pos308_12_136""",579,human_liver_2019
"""ASGR1pos308_12_137""",1130,human_liver_2019
"""ASGR1pos308_12_138""",1203,human_liver_2019
"""ASGR1pos308_12_139""",518,human_liver_2019
"""ASGR1pos308_12_140""",1342,human_liver_2019
"""ASGR1pos308_12_142""",622,human_liver_2019
"""ASGR1pos308_12_153""",433,human_liver_2019
"""ASGR1pos308_12_154""",1536,human_liver_2019
"""ASGR1pos308_12_158""",657,human_liver_2019
"""ASGR1pos308_12_159""",1364,human_liver_2019
"""ASGR1pos308_12_162""",1088,human_liver_2019
"""ASGR1pos308_12_164""",649,human_liver_2019
"""ASGR1pos308_12_167""",655,human_liver_2019
"""ASGR1pos308_12_168""",484,human_liver_2019
"""ASGR1pos308_12_170""",1376,human_liver_2019
"""ASGR1pos308_12_171""",576,human_liver_2019
"""ASGR1pos308_12_174""",671,human_liver_2019
"""ASGR1pos308_12_175""",1086,human_liver_2019
"""ASGR1pos308_12_178""",2352,human_liver_2019
"""ASGR1pos308_12_179""",1057,human_liver_2019
"""ASGR1pos308_12_180""",1620,human_liver_2019
"""ASGR1pos308_12_183""",968,human_liver_2019
"""ASGR1pos308_12_185""",2036,human_liver_2019
"""ASGR1pos308_12_186""",833,human_liver_2019
"""ASGR1pos308_12_189""",1037,human_liver_2019
"""ASGR1pos308_9_1""",1145,human_liver_2019
"""ASGR1pos308_9_3""",530,human_liver_2019
"""ASGR1pos308_9_4""",1900,human_liver_2019
"""ASGR1pos308_9_5""",1953,human_liver_2019
"""ASGR1pos308_9_6""",1321,human_liver_2019
"""ASGR1pos308_9_8""",1194,human_liver_2019
"""ASGR1pos308_9_10""",928,human_liver_2019
"""ASGR1pos308_9_11""",1246,human_liver_2019
"""ASGR1pos308_9_14""",724,human_liver_2019
"""ASGR1pos308_9_15""",976,human_liver_2019
"""ASGR1pos308_9_18""",577,human_liver_2019
"""ASGR1pos308_9_19""",628,human_liver_2019
"""ASGR1pos308_9_20""",468,human_liver_2019
"""ASGR1pos308_9_22""",3331,human_liver_2019
"""ASGR1pos308_9_23""",1593,human_liver_2019
"""ASGR1pos308_9_24""",591,human_liver_2019
"""ASGR1pos308_9_25""",549,human_liver_2019
"""ASGR1pos308_9_26""",1108,human_liver_2019
"""ASGR1pos308_9_27""",526,human_liver_2019
"""ASGR1pos308_9_29""",519,human_liver_2019
"""ASGR1pos308_9_30""",710,human_liver_2019
"""ASGR1pos308_9_31""",2011,human_liver_2019
"""ASGR1pos308_9_32""",956,human_liver_2019
"""ASGR1pos308_9_33""",994,human_liver_2019
"""ASGR1pos308_9_34""",1697,human_liver_2019
"""ASGR1pos308_9_36""",872,human_liver_2019
"""ASGR1pos308_9_37""",2516,human_liver_2019
"""ASGR1pos308_9_38""",1042,human_liver_2019
"""ASGR1pos308_9_39""",1122,human_liver_2019
"""ASGR1pos308_9_40""",1046,human_liver_2019
"""ASGR1pos308_9_41""",824,human_liver_2019
"""ASGR1pos308_9_43""",717,human_liver_2019
"""ASGR1pos308_9_44""",685,human_liver_2019
"""ASGR1pos308_9_48""",719,human_liver_2019
"""ASGR1pos308_9_49""",981,human_liver_2019
"""ASGR1pos308_9_52""",684,human_liver_2019
"""ASGR1pos308_9_55""",2592,human_liver_2019
"""ASGR1pos308_9_56""",496,human_liver_2019
"""ASGR1pos308_9_57""",1905,human_liver_2019
"""ASGR1pos308_9_58""",1100,human_liver_2019
"""ASGR1pos308_9_59""",744,human_liver_2019
"""ASGR1pos308_9_60""",759,human_liver_2019
"""ASGR1pos308_9_61""",1153,human_liver_2019
"""ASGR1pos308_9_62""",1861,human_liver_2019
"""ASGR1pos308_9_63""",1103,human_liver_2019
"""ASGR1pos308_9_65""",500,human_liver_2019
"""ASGR1pos308_9_66""",1527,human_liver_2019
"""ASGR1pos308_9_67""",3411,human_liver_2019
"""ASGR1pos308_9_69""",1241,human_liver_2019
"""ASGR1pos308_9_70""",583,human_liver_2019
"""ASGR1pos308_9_71""",1534,human_liver_2019
"""ASGR1pos308_9_72""",800,human_liver_2019
"""ASGR1pos308_9_73""",756,human_liver_2019
"""ASGR1pos308_9_74""",343,human_liver_2019
"""ASGR1pos308_9_75""",1510,human_liver_2019
"""ASGR1pos308_9_76""",1379,human_liver_2019
"""ASGR1pos308_9_78""",2321,human_liver_2019
"""ASGR1pos308_9_80""",490,human_liver_2019
"""ASGR1pos308_9_81""",895,human_liver_2019
"""ASGR1pos308_9_85""",851,human_liver_2019
