,gene_name,dataset
486,Yod1,old_10X_cruk_changed_buffer
487,AA986860,old_10X_cruk_changed_buffer
488,Gm15848,old_10X_cruk_changed_buffer
489,Pigr,old_10X_cruk_changed_buffer
490,Fcmr,old_10X_cruk_changed_buffer
491,Mapkapk2,old_10X_cruk_changed_buffer
492,Dyrk3,old_10X_cruk_changed_buffer
493,Eif2d,old_10X_cruk_changed_buffer
494,Rassf5,old_10X_cruk_changed_buffer
495,Ikbke,old_10X_cruk_changed_buffer
496,Gm28913,old_10X_cruk_changed_buffer
497,Srgap2,old_10X_cruk_changed_buffer
498,Gm29488,old_10X_cruk_changed_buffer
499,Fam72a,old_10X_cruk_changed_buffer
500,Rab7b,old_10X_cruk_changed_buffer
501,Pm20d1,old_10X_cruk_changed_buffer
502,Slc41a1,old_10X_cruk_changed_buffer
503,Rab29,old_10X_cruk_changed_buffer
504,Nucks1,old_10X_cruk_changed_buffer
505,Slc45a3,old_10X_cruk_changed_buffer
506,Elk4,old_10X_cruk_changed_buffer
507,Mfsd4a,old_10X_cruk_changed_buffer
508,Cdk18,old_10X_cruk_changed_buffer
509,Gm29629,old_10X_cruk_changed_buffer
510,Klhdc8a,old_10X_cruk_changed_buffer
511,Nuak2,old_10X_cruk_changed_buffer
512,Tmcc2,old_10X_cruk_changed_buffer
513,Dstyk,old_10X_cruk_changed_buffer
514,6030442K20Rik,old_10X_cruk_changed_buffer
515,Rbbp5,old_10X_cruk_changed_buffer
516,Tmem81,old_10X_cruk_changed_buffer
517,Cntn2,old_10X_cruk_changed_buffer
518,Mdm4,old_10X_cruk_changed_buffer
519,Pik3c2b,old_10X_cruk_changed_buffer
520,Ppp1r15b,old_10X_cruk_changed_buffer
521,Plekha6,old_10X_cruk_changed_buffer
522,Kiss1,old_10X_cruk_changed_buffer
523,Etnk2,old_10X_cruk_changed_buffer
524,Sox13,old_10X_cruk_changed_buffer
525,Snrpe,old_10X_cruk_changed_buffer
526,Zc3h11a,old_10X_cruk_changed_buffer
527,Gm38394,old_10X_cruk_changed_buffer
528,Lax1,old_10X_cruk_changed_buffer
529,Atp2b4,old_10X_cruk_changed_buffer
530,Prelp,old_10X_cruk_changed_buffer
531,Fmod,old_10X_cruk_changed_buffer
532,Btg2,old_10X_cruk_changed_buffer
533,Adora1,old_10X_cruk_changed_buffer
534,Tmem183a,old_10X_cruk_changed_buffer
535,Cyb5r1,old_10X_cruk_changed_buffer
