,gene_name,dataset
542,Eif2ak4,snRNAseq2_old_buffer
543,Wdr1,snRNAseq2_old_buffer
544,Slc2a9,snRNAseq2_old_buffer
545,4930550C14Rik,snRNAseq2_old_buffer
546,Klf5,snRNAseq2_old_buffer
547,Wdr83,snRNAseq2_old_buffer
548,Prdx2,snRNAseq2_old_buffer
549,Polr2a,snRNAseq2_old_buffer
550,Shbg,snRNAseq2_old_buffer
551,Senp3,snRNAseq2_old_buffer
552,Plekha8,snRNAseq2_old_buffer
553,Spc25,snRNAseq2_old_buffer
554,Dnah2,snRNAseq2_old_buffer
555,Ufd1,snRNAseq2_old_buffer
556,Zfp287,snRNAseq2_old_buffer
557,Prlr,snRNAseq2_old_buffer
558,Letm1,snRNAseq2_old_buffer
559,Fgfr4,snRNAseq2_old_buffer
560,Cadm3,snRNAseq2_old_buffer
561,Txn2,snRNAseq2_old_buffer
562,Slc1a6,snRNAseq2_old_buffer
563,Slc1a3,snRNAseq2_old_buffer
564,Crbn,snRNAseq2_old_buffer
565,Msh6,snRNAseq2_old_buffer
566,Mlxipl,snRNAseq2_old_buffer
567,Tbl2,snRNAseq2_old_buffer
568,Bud23,snRNAseq2_old_buffer
569,Nid1,snRNAseq2_old_buffer
570,Mcm5,snRNAseq2_old_buffer
571,Mprip,snRNAseq2_old_buffer
572,Il27ra,snRNAseq2_old_buffer
573,Prkaca,snRNAseq2_old_buffer
574,Asf1b,snRNAseq2_old_buffer
575,Ddx39,snRNAseq2_old_buffer
576,Celf1,snRNAseq2_old_buffer
577,Ndufs3,snRNAseq2_old_buffer
578,Por,snRNAseq2_old_buffer
579,Insr,snRNAseq2_old_buffer
580,Fcer2a,snRNAseq2_old_buffer
581,Cyp2a5,snRNAseq2_old_buffer
582,Atp4a,snRNAseq2_old_buffer
583,Trim28,snRNAseq2_old_buffer
584,Adcy9,snRNAseq2_old_buffer
585,Mef2c,snRNAseq2_old_buffer
586,Ctr9,snRNAseq2_old_buffer
587,Eif4g2,snRNAseq2_old_buffer
588,Mrvi1,snRNAseq2_old_buffer
589,Pcyt1a,snRNAseq2_old_buffer
590,Zfp592,snRNAseq2_old_buffer
591,Psmd4,snRNAseq2_old_buffer
592,Mthfd2,snRNAseq2_old_buffer
593,Kit,snRNAseq2_old_buffer
594,Tomm40l,snRNAseq2_old_buffer
595,Nr1i3,snRNAseq2_old_buffer
596,Apoa2,snRNAseq2_old_buffer
597,Cs,snRNAseq2_old_buffer
598,Ampd3,snRNAseq2_old_buffer
599,Bcas2,snRNAseq2_old_buffer
600,Sh2d1a,snRNAseq2_old_buffer
601,Ctcf,snRNAseq2_old_buffer
602,Pard6a,snRNAseq2_old_buffer
603,Agrp,snRNAseq2_old_buffer
604,Pvalb,snRNAseq2_old_buffer
605,Ranbp1,snRNAseq2_old_buffer
606,Cd247,snRNAseq2_old_buffer
607,Rfx5,snRNAseq2_old_buffer
608,Psmb4,snRNAseq2_old_buffer
609,Slc30a4,snRNAseq2_old_buffer
610,Sqor,snRNAseq2_old_buffer
611,Metap1,snRNAseq2_old_buffer
612,Gpr108,snRNAseq2_old_buffer
613,Tnfsf14,snRNAseq2_old_buffer
614,Rsl1d1,snRNAseq2_old_buffer
615,Apc,snRNAseq2_old_buffer
616,Reep5,snRNAseq2_old_buffer
617,Ergic3,snRNAseq2_old_buffer
618,Uqcc1,snRNAseq2_old_buffer
619,Spo11,snRNAseq2_old_buffer
620,Trh,snRNAseq2_old_buffer
621,Smpd4,snRNAseq2_old_buffer
622,Pex1,snRNAseq2_old_buffer
623,Kctd20,snRNAseq2_old_buffer
624,Ctns,snRNAseq2_old_buffer
625,Shpk,snRNAseq2_old_buffer
626,Tuft1,snRNAseq2_old_buffer
627,Dnase1,snRNAseq2_old_buffer
628,Trap1,snRNAseq2_old_buffer
629,Naa60,snRNAseq2_old_buffer
630,1700037C18Rik,snRNAseq2_old_buffer
631,Ankrd13d,snRNAseq2_old_buffer
632,Tpr,snRNAseq2_old_buffer
633,BC003331,snRNAseq2_old_buffer
634,Prg4,snRNAseq2_old_buffer
635,Dhx34,snRNAseq2_old_buffer
636,Kptn,snRNAseq2_old_buffer
