,n_genes,dataset
do22970,5104,snRNAseq2
do22971,3643,snRNAseq2
do22972,1699,snRNAseq2
do22981,5059,snRNAseq2
do22982,4449,snRNAseq2
do22983,4461,snRNAseq2
do22984,4212,snRNAseq2
do22985,5400,snRNAseq2
do22986,5169,snRNAseq2
do22987,5148,snRNAseq2
do22988,1712,snRNAseq2
do22997,3634,snRNAseq2
do22998,4900,snRNAseq2
do22999,3006,snRNAseq2
do23000,4293,snRNAseq2
do23001,5525,snRNAseq2
do23002,4407,snRNAseq2
do23003,3818,snRNAseq2
do23004,1654,snRNAseq2
do23013,3882,snRNAseq2
do23014,4174,snRNAseq2
do23015,2762,snRNAseq2
do23016,3393,snRNAseq2
